userToken,timestamp,objectID,eventType,eventName
dc6ccd76-68d1-4691-9b79-30de3a3ca5cb,2021-09-15T10:30:43Z,M0E20000000EAAK,click,click
cb134a0a-62fd-4586-bd3b-50e17756b4b4,2021-10-29T05:32:20Z,M0E20000000EAAK,click,click
936c8a92-eba9-4d45-9d47-55966c615097,2021-11-17T06:56:21Z,M0E20000000EAAK,click,click
da8660cb-bafb-49f6-87f3-525d365feac6,2021-09-21T07:53:02Z,M0E20000000EAAK,click,click
65eb4cbd-3418-402b-a3c3-5f47482e421e,2021-09-19T09:58:34Z,M0E20000000EAAK,click,click
820cd3e6-38cf-4637-8aca-705e7e2c5fb4,2021-09-28T07:11:22Z,M0E20000000EAAK,click,click
ca0246a1-98c6-47d5-9ae2-998f7ba7138b,2021-12-05T02:50:03Z,M0E20000000EAAK,click,click
9a796a44-1352-469d-a123-07eec2ad92e6,2021-11-03T11:40:21Z,M0E20000000EAAK,click,click
73eb3eb2-4ed3-45cd-8e51-ba24f81ecd4a,2021-09-27T15:02:11Z,M0E20000000EAAK,click,click
1913fba5-75dc-478d-a335-30e83ec74518,2021-10-18T07:11:37Z,M0E20000000EAAK,click,click
7cc5a8b4-f240-4cbb-b9ff-b6254545560a,2021-11-12T09:51:13Z,M0E20000000EAAK,click,click
0802b39c-dca4-4027-8208-0ca6d4df41d1,2021-11-22T15:35:23Z,M0E20000000EAAK,click,click
f5a55551-e71b-47b5-8782-eeee4d085a41,2021-12-02T19:47:25Z,M0E20000000EAAK,click,click
e1c34920-9a56-46f6-a82e-c5d5ce918651,2021-11-23T01:21:28Z,M0E20000000EAAK,click,click
e1ef533d-1b40-4a8b-9b3e-d6171b2c7fbb,2021-10-05T21:30:05Z,M0E20000000EAAK,click,click
ebb253ca-961b-4d40-b93e-46f300502255,2021-11-19T20:10:01Z,M0E20000000E1HU,click,click
812bb1e7-0032-4e67-a1e3-1e7621e33e0b,2021-10-12T14:01:48Z,M0E20000000E1HU,click,click
e05c52fb-d921-4040-a5ad-491a0701dbd1,2021-10-08T17:33:26Z,M0E20000000E1HU,click,click
fdc658cc-80ec-41e6-9bf3-cc31d5c3108c,2021-10-24T08:47:43Z,M0E20000000E1HU,click,click
05d90525-d78c-46b4-8b54-f5771f0d5dbe,2021-11-13T11:38:16Z,M0E20000000E1HU,click,click
9e3b4b46-917c-4d5b-972e-00fc3dbb88c5,2021-09-27T22:37:58Z,M0E20000000E1HU,click,click
a1e542ea-c779-40ab-a54a-31e916416ed3,2021-11-02T06:21:19Z,M0E20000000E1HU,click,click
48327967-d1e4-4249-a84b-52babed888e4,2021-10-11T13:42:09Z,M0E20000000E1HU,click,click
